commit,kidcount,distance
41b572dd,3,1
46969708,3,1
56183a1d,2,1
5c5a44d5,2,1
646441eb,4,1
709f5b65,2,1
762d7256,4,1
8ba0484d,2,1
8dc4a94c,2,1
8e227cdb,3,1
9ceec521,2,1
a90ac96c,2,1
af886faf,2,1
b7033642,3,1
b78c090a,2,1
bdd76144,2,1
c070241f,4,1
c50c4cc1,2,1
c8e74a50,2,2
d78b62e4,2,1
d7d8ab6f,2,1
e8f285b8,2,1
eb50db90,2,1
f31241e8,2,1
f9b4e013,2,1
f9de08ef,3,1
9bc74b93,2,2
11901b34,2,1
1bba738c,2,1
2503a275,2,1
43d209e3,2,1
522b1ec7,2,2
5253eb44,2,1
7fc5a9be,2,1
e5a0c284,2,1
958c3688,2,1
cccba680,2,1
d338a88c,4,1
02274966,3,1
35aff6a5,2,1
3bb7f7a0,2,1
4e8fb064,2,1
58e90162,2,1
66615897,3,1
89a7b858,3,1
8c716e78,2,1
ab826832,3,1
aec14b22,2,1
4003e1ce,2,1
52e7b9b6,2,1
6c0c4692,2,1
7e65c274,2,1
addde896,2,1
c1113035,2,4
da4c32cb,2,1
fcc686f5,2,1
015c7bef,3,2
b6aa3b33,2,1
e2143452,2,17
e2ca3ee7,2,10
e4bdef23,2,14
0dea5115,2,1
4299dfe0,2,1
7b6c3703,3,1
a328b15d,3,1
a4f14685,2,1
dd3dff9b,2,1
df3e5ba1,6,1
e810e4d2,2,1
be29c8fe,2,1
e54d047d,2,1
2096a54e,2,1
9a1dc668,2,8
d66f4f47,2,1
2d7a669a,2,5
347050ed,2,1
8f5a0751,2,2
b3be9202,2,1
a12e4cd5,2,1
30e77d63,2,1
492b2805,2,1
6ed71b4f,2,6
7fdc3feb,2,1
d2128417,2,3
dfc759de,2,1
dfeee5d8,2,1
fe5e734b,2,1
051c3849,4,1
7506f84c,7,1
b338107a,2,2
a28adea2,2,4
01278529,2,1
053f69b6,2,1
07aec2a6,3,1
0bad6dba,3,1
11b3fe7d,2,1
123e6d1d,2,1
137e60ca,3,1
1dbf9642,2,1
205e5279,2,1
2b500012,2,2
2eaa5a4d,2,1
31328e47,2,1
344cb55b,2,1
3bb28ec0,3,1
3c43819b,2,1
3f215931,2,1
420561c5,2,1
42f790fa,2,1
46e3c5a8,2,1
4a3869cd,2,1
4cadc2d5,3,1
4cfe3d70,2,1
4e1e0bcf,2,1
4f8cf0fe,5,1
4f960fd3,2,1
51262836,3,1
5d44fa77,2,1
65020004,2,1
682a4960,3,1
731adffa,3,1
75e3085c,2,1
766c6f0a,2,1
7f51d871,3,1
914b1c53,3,1
a51c4f0d,4,1
a5d9d779,2,1
aaadf292,2,1
ac70d721,2,1
aec00f83,3,1
b70165b9,2,1
ba7f0cf2,2,1
c3bf9dd8,2,2
c45f84c3,2,1
cb650201,2,1
d42b5c12,2,1
e0c836c0,4,1
e50dfea8,2,1
e5d725a6,2,1
e9179e33,3,1
ec877e37,2,2
ef71c571,2,1
efa2f43f,2,1
f9a45226,3,1
f9c230dd,2,1
dec37e81,2,3
6281190c,3,2
59957112,2,1
112d068b,2,1
29467552,2,1
3237159f,3,1
641d35c4,2,1
7813bbb7,2,1
88d0993d,3,1
8de16386,2,1
94e9ad2a,2,1
a3701252,2,1
a89c244a,2,2
bd108cd1,2,1
d811f02c,2,1
da26ef70,3,1
e79beb29,2,5
1b40eb1a,2,1
349a728d,2,1
4c4d6d83,2,2
72632ed7,2,1
808f4130,2,1
836dd814,2,1
946133a3,2,2
cd46e63c,2,1
ceddec0f,2,1
0d8f8ed6,2,12
14bee3ce,3,2
1636c7d7,2,2
443c4c22,2,1
4b493f80,2,1
510c2d6e,4,1
676391bd,2,2
6eebef22,2,3
8ea56536,2,1
aba42af7,2,1
b656dc8d,2,1
bde621b4,3,1
c2ff97a4,2,2
ef439b58,4,1
f96fd29c,3,1
fd4dfc01,2,1
0677052a,2,1
12d83a66,2,1
5e218bcd,2,1
7ba54365,2,1
a52dca9f,2,1
bd11b953,2,1
bd7aac1b,2,1
c0b2d538,2,1
c953d18d,5,1
cda82f38,2,2
dc431f44,2,1
e52281c6,2,1
fb2f6f18,2,1
0767ef6c,4,1
3283928f,3,1
8993b9a6,2,2
e747fe6f,2,1
112b77e8,2,1
5fdb10c8,3,1
63501e10,2,1
8c645105,2,1
9bb16859,3,1
c180c49f,2,1
9ec61b37,2,1
eefbc69f,2,1
60fcb382,2,2
a59ba126,2,1
d0728352,2,1
b4ca9041,2,1
a32e04e3,2,1
a97b8f71,2,3
1b06c6ad,2,1
8a744a5a,2,1
8f8f4e25,2,1
a5c1d4cc,2,1
dcfa68de,2,4
f7aff5ca,2,1
1330cf8b,2,1
14fd9ee1,2,1
2d1a5fc6,2,1
0a3ab91d,2,1
4c4f46d4,3,1
76e2ed69,3,1
b4649603,2,1
8f42d43f,2,1
4c2fd9d3,2,2
f2fb1757,2,1
8d9c8084,2,1
267ae24e,2,2
3229f40a,3,1
4abac681,2,1
9cbc59ed,3,6
bc889d3c,2,2
f074e605,2,1
50218b04,2,1
bb75fec8,2,1
1b2eda66,3,1
84cabcaa,3,1
bb608dd3,2,1
0b236dc6,2,1
5b06f5ba,5,2
103ec329,3,1
74c220e8,2,1
ac160ba3,2,1
b480a5b0,2,1
69f7df00,2,1
6afbc436,2,1
4f490f4b,2,1
ac4320eb,3,1
ba4b22a5,2,2
eeb4e6bc,2,1
ff564e82,3,1
f73fd6d2,3,5
bf7a27ce,3,1
27f5313b,2,1
f5388145,2,1
6ac92812,2,1
a060843a,2,3
1da27a88,2,5
36fe5d57,2,63
b44c975e,2,1
d0778f69,2,1
3b6f9902,3,1
4bc67faf,2,5
295a1a7a,2,1
084c630a,2,4
bbed0237,3,1
0b4d2e96,2,1
86f501cf,2,1
0958ab6f,2,2
1b178fb0,3,1
3a5dd188,2,1
3e3a18b7,2,1
3fc34a73,2,1
582cf88f,3,1
74ceb1f1,2,1
8c8a0a14,3,1
a467f2f4,2,1
2dead211,2,1
420a76b4,3,1
7ce72649,2,1
86708346,2,54
c8d0c74d,2,58
304e6358,2,1
a8672981,3,1
727461ec,2,1
2e3e77b3,3,1
826e31c0,2,1
a604bef4,2,2
f0a95143,4,1
00434bc0,2,1
613f6ec7,2,1
cf46d63f,2,1
e591ab25,2,1
05254e53,2,1
89b4774e,2,1
96c2502e,2,1
c986cedd,2,3
bb7abd90,4,1
5514806f,2,3
4199f373,2,2
c24ec92a,4,1
dd1f24a1,2,3
a52d5c99,2,7
96dc8280,2,1
f6406edd,3,1
d9a00b77,2,1
1511d931,2,1
90a83af2,2,2
eff4d37d,2,1
14dd29ed,2,1
2b335526,2,1
2c6c7405,2,1
2e72c87a,2,6
3c390862,2,3
47fbaf67,2,1
4c2f0a78,2,1
5ec1eb3a,2,2
67127872,2,1
88700c8d,2,3
93e61721,2,7
99038254,2,1
a57ab153,2,3
b649e2f8,2,1
cef9b97f,2,1
d70de542,2,1
d789df33,2,1
db6ea9dd,2,2
e358ae68,2,1
1751ba3d,2,2
53d1248c,3,2
efb1cbcd,2,1
0c91b806,2,5
313ef2d3,3,12
38ba0cd6,2,1
409137bb,6,1
61299af9,2,1
99e3a770,3,1
c2c8b5d2,3,8
d3ae2fa5,2,2
7cc0c5c9,2,1
d8a793a3,2,2
9a7d2e83,2,1
5636d56f,2,1
81732f3f,2,1
c53896e5,2,1
1364dece,2,1
1c1218fb,2,1
1f9833f4,2,4
35c3d646,3,1
4cefb6b6,2,1
51f2c8b1,4,1
78494f5a,2,1
847cbc37,3,1
974b572f,3,1
9a250980,3,1
a079a195,2,1
a72340fb,2,1
b5ca6f04,2,1
c28e7153,4,1
ca25bbca,2,1
e28cd183,2,1
3b6c90a6,3,2
98963feb,2,1
0abd5435,2,1
197eb929,4,1
315f7d06,3,1
324737ca,3,1
343d8671,3,1
47f43b83,3,1
5c47afe1,8,1
61ee1faf,7,1
62896493,2,2
6e252151,3,6
77598253,2,1
7a509ed4,5,4
7ada27e4,2,1
7cd0b46d,2,1
833f2917,2,1
a2fa0596,2,1
ac0e8333,3,4
b2742cc6,2,1
b28a92b0,2,2
c35bc1ba,7,1
c75d5f01,5,1
d01372bd,2,3
d0547035,4,1
dd278791,4,1
f4923a03,3,3
03561380,2,2
c629d09a,2,1
f7c90527,3,1
46af0640,2,1
bc02f2b4,2,6
a9f7c263,3,1
c06cbe37,2,1
aa1b5c17,4,1
0d13d886,2,1
35a06547,2,1
388400a3,3,1
837426ba,2,1
32420860,2,6
3f431cab,2,1
4626f2bc,2,2
d32fcd53,3,1
c61e721f,2,5
05232de7,2,1
2d170779,2,2
73959beb,2,1
901b6ac6,2,6
903bf028,2,2
99ca27e8,2,1
d3bfbb85,2,1
0e4b8f25,2,196
175d606f,2,1
1b03b431,2,2
4f5fe037,2,156
665524d5,2,67
82edf0bd,2,8
9b7e74a7,2,73
ca67b8cb,2,197
da035b84,2,1
eb23f3b5,2,124
68dab79b,2,1
