64296607,2815235,tomp2p/TomP2P,1,1
64296612,2815235,tomp2p/TomP2P,1,1
64296999,380402,structr/structr,3,1
64297291,1260432,pothibo/ecrire,1,1
64299822,22313,troessner/reek,8,3
64302680,1221979,rackerlabs/blueflood,2,1
64302683,69867,apache/jackrabbit-oak,1,1
64304228,1221979,rackerlabs/blueflood,2,1
64306643,178866,promiscuous-io/promiscuous,30,19
64307624,877336,puniverse/quasar,2,2
64310022,877336,puniverse/quasar,2,2
64315078,30629,Shopify/active_shipping,12,1
64316387,456083,rubysec/bundler-audit,4,2
64318430,35,guard/guard-rspec,24,9
64326170,1001909,ThoughtWorksStudios/eb_deployer,5,5
64328345,69867,apache/jackrabbit-oak,1,1
64329793,4231,ruby/ruby,4,2
64330476,513298,cantino/huginn,6,1
64332636,1302426,Unidata/thredds,3,3
64339736,42,diaspora/diaspora,8,1
64339902,42,diaspora/diaspora,8,1
64339911,42,diaspora/diaspora,8,1
64340553,42,diaspora/diaspora,8,1
64343946,342991,stanfy/enroscar,2,1
64344841,269684,antirez/redis-doc,1,1
64346181,891,rails/rails,32,24
64346430,891,rails/rails,32,24
64346768,891,rails/rails,32,24
64347394,342991,stanfy/enroscar,2,1
64348525,1302426,Unidata/thredds,3,3
64352310,342991,stanfy/enroscar,2,1
64354210,1140,sferik/rails_admin,22,3
64361148,1299095,ocpsoft/rewrite,5,2
64363049,1299095,ocpsoft/rewrite,5,2
64363879,96198,pivotal/LicenseFinder,6,2
64369887,2694124,AChep/AcDisplay,1,1
64369968,4231,ruby/ruby,4,2
64370048,4231,ruby/ruby,4,2
64370258,877336,puniverse/quasar,2,1
64371792,4314719,google/bazel,1,1
64372807,972856,ForgeEssentials/ForgeEssentialsMain,1,1
64373732,385879,nutzam/nutz,4,4
64373922,234484,SonarSource/sonarqube,1,1
64374525,1909917,larsga/Duke,2,2
64374689,1909917,larsga/Duke,2,2
64375417,970,ledermann/unread,48,24
64376867,970,ledermann/unread,48,8
64384886,877336,puniverse/quasar,2,1
64385448,10075,jruby/jruby,32,28
64386758,42,diaspora/diaspora,8,2
64391325,503448,rpush/rpush,21,3
64393015,10075,jruby/jruby,32,6
64395777,365717,geoserver/geoserver,3,2
64399355,354974,minimagick/minimagick,7,2
64399636,10075,jruby/jruby,32,6
64400267,354974,minimagick/minimagick,7,2
64406758,234484,SonarSource/sonarqube,1,1
64410561,69867,apache/jackrabbit-oak,1,1
64413723,988005,Parallels/vagrant-parallels,1,1
64414554,380402,structr/structr,3,1
64414736,988005,Parallels/vagrant-parallels,1,1
64416135,647106,opf/openproject,8,2
64418660,10075,jruby/jruby,32,7
64419628,10075,jruby/jruby,32,6
64421131,69867,apache/jackrabbit-oak,1,1
64423539,10075,jruby/jruby,32,6
64424432,10075,jruby/jruby,32,6
64428700,4314719,google/bazel,1,1
64430334,474586,leereilly/swot,2,2
64430860,647106,opf/openproject,8,1
64431224,647106,opf/openproject,8,1
64431324,10075,jruby/jruby,32,6
64434538,16299,travis-ci/travis-cookbooks,1,1
64434672,10075,jruby/jruby,32,6
64435988,10075,jruby/jruby,32,6
64436759,10075,jruby/jruby,32,6
64437310,380402,structr/structr,3,1
64438492,503448,rpush/rpush,21,4
64445705,365717,geoserver/geoserver,3,1
64446627,3761633,KrauseFx/fastlane,2,2
64448993,139061,cloudfoundry/cloud_controller_ng,4,1
64450345,380402,structr/structr,3,1
64451545,9951,orbeon/orbeon-forms,1,1
64451816,1846996,deeplearning4j/deeplearning4j,1,1
64451871,1846996,deeplearning4j/deeplearning4j,1,1
64452844,1846996,deeplearning4j/deeplearning4j,1,1
64452846,1846996,deeplearning4j/deeplearning4j,1,1
64458380,1846996,deeplearning4j/deeplearning4j,1,1
64458385,1846996,deeplearning4j/deeplearning4j,1,1
64464305,1846996,deeplearning4j/deeplearning4j,1,1
64464402,143012,chef/chef,5,1
64464578,1846996,deeplearning4j/deeplearning4j,1,1
64464997,1846996,deeplearning4j/deeplearning4j,1,1
64465157,1846996,deeplearning4j/deeplearning4j,1,1
64466387,1846996,deeplearning4j/deeplearning4j,1,1
64468509,1492,jnicklas/capybara,10,2
64470395,2360716,coorasse/Airesis,1,1
64473125,380402,structr/structr,3,1
64474711,4065201,grpc/grpc-java,1,1
64475350,1846996,deeplearning4j/deeplearning4j,1,1
64476034,2360716,coorasse/Airesis,1,1
64476171,10075,jruby/jruby,32,6
64477187,10075,jruby/jruby,32,6
64479760,323760,rapid7/metasploit-framework,3,3
64479803,835609,laurentpetit/ccw,1,1
64480966,891,rails/rails,32,31
64482641,4065201,grpc/grpc-java,1,1
64484072,835609,laurentpetit/ccw,1,1
64484981,9951,orbeon/orbeon-forms,1,1
64485055,10075,jruby/jruby,32,6
64485147,1302426,Unidata/thredds,3,3
64487826,380402,structr/structr,3,2
64489487,1846996,deeplearning4j/deeplearning4j,1,1
64490838,1302426,Unidata/thredds,3,3
64495865,1846996,deeplearning4j/deeplearning4j,1,1
64496501,1266819,checkstyle/checkstyle,9,3
64496775,4065201,grpc/grpc-java,1,1
64498120,972856,ForgeEssentials/ForgeEssentialsMain,1,1
64500408,10075,jruby/jruby,32,5
64501093,891,rails/rails,32,31
64501696,959043,Nordstrom/chef-vault,1,1
64501877,1736653,openaustralia/morph,1,1
64502613,1512262,poise/poise,5,1
64503651,9951,orbeon/orbeon-forms,1,1
64504148,1512262,poise/poise,5,1
64505671,10075,jruby/jruby,32,5
64507237,323760,rapid7/metasploit-framework,3,3
64508281,891,rails/rails,32,31
64508336,323760,rapid7/metasploit-framework,3,3
64508487,891,rails/rails,32,31
64508917,891,rails/rails,32,30
64509017,891,rails/rails,32,31
64509281,891,rails/rails,32,30
64509761,891,rails/rails,32,32
64510874,10075,jruby/jruby,32,6
64511897,891,rails/rails,32,32
64512725,3709873,naver/pinpoint,2,1
64512832,1140,sferik/rails_admin,22,3
64512863,267382,bokmann/font-awesome-rails,9,2
64512974,4231,ruby/ruby,4,1
64512981,891,rails/rails,32,31
